ID	age	correct_ari	correct_vis
1	19	96.23	89.39
2	32	77.36	82.98
3	27	57.08	95.31
4	19	44.34	90.91
5	29	31.60	94.00
6	28	80.66	93.55
7	24	46.23	93.55
8	29	32.55	98.21
9	26	25.95	94.64
11	25	100.00	95.16
13	23	44.34	100.00
15	26	75.47	96.43
16	25	22.17	95.24
17	30	59.43	95.83
18	32	81.60	97.22
19	23	81.13	96.15
21	31	77.36	87.72
22	28	64.62	94.87
23	27	76.89	98.11
24	23	85.85	100.00
26	28	61.79	97.87
27	20	56.60	91.07
28	26	34.43	100.00
29	30	99.06	100.00
30	34	35.38	100.00
31	24	75.47	97.78
32	25	63.68	95.35
