Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6686	-0.3294	 0	   NaN	-0.4418	3.6851	0.0000	  4	"white noise video baseline"
  2	 0	0.3154	4.5312	5.3527	5.3527	4.7556	-3.1608	 1	3.2031	3.4896	3.3423	0.3678	  5	"instruction"
  3	 2	-1.3922	3.1388	1.8348	1.8348	3.1307	-0.2471	 0	   NaN	-0.4418	4.1614	0.3004	  6	"white noise video"
  4	 0	0.6569	1.9073	2.3090	2.3090	2.6575	-1.1551	 1	3.6406	1.4609	3.5836	0.1689	  7	"RENTOUTUNEISUUS"
  5	 2	-0.9369	2.3981	2.3878	2.3878	2.6571	0.5074	 0	   NaN	-0.4418	4.0151	0.2739	  8	"47"
  6	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6441	0.8492	 0	   NaN	-0.4418	3.8182	0.0000	  9	"white noise video"
  7	 0	-0.3677	-0.0541	0.0179	0.0179	0.2225	-0.0483	 1	3.3906	0.0837	3.6932	0.0624	 10	"SURU"
  8	 2	-0.0262	0.8270	0.3815	0.3815	0.9037	0.9772	 1	4.3281	0.3115	3.8522	0.0226	 11	"47"
  9	 3	-0.4815	1.2440	0.9185	0.9185	0.9563	0.3905	 1	3.3906	0.9990	3.7828	0.0553	 12	"white noise video"
 10	 0	0.7707	2.0368	2.4910	2.4910	3.2060	-0.3398	 1	3.2031	2.0646	3.6897	0.2176	 13	"INNOSTUNEISUUS"
 11	 0	1.4537	2.3054	2.0800	2.0800	2.5730	2.2025	 1	3.9531	1.3460	4.0293	0.1038	 14	"47"
 12	-1	   NaN	-0.5380	-0.5250	-0.5250	-0.5738	1.3069	 0	   NaN	-0.4418	4.0062	0.0000	 15	"white noise video"
 13	 0	1.3399	-0.0582	0.0340	0.0340	-0.0326	0.1574	 1	4.1406	-0.0577	3.7382	0.0202	 16	"VOITTO"
 14	 0	0.7707	-0.0673	-0.0046	-0.0046	0.5414	1.2391	 1	4.1406	1.4193	3.8917	0.0242	 17	"47"
 15	-1	   NaN	-0.5380	-0.5199	-0.5199	-0.4934	1.0341	 0	   NaN	-0.4418	3.9497	0.0000	 18	"white noise video"
 16	 2	-0.5953	0.3765	0.4122	0.4122	0.1009	-0.1481	 0	   NaN	-0.4418	3.7077	0.0776	 19	"VIHA"
 17	 2	-0.2538	1.3122	1.5169	1.5169	1.0211	0.7736	 0	   NaN	-0.4418	3.9074	0.2202	 20	"47"
 18	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5125	2.3350	 0	   NaN	-0.4418	4.2891	0.0174	 21	"white noise video"
 19	 2	0.0877	-0.1414	-0.1827	-0.1827	-0.3331	0.3914	 1	3.7656	-0.2510	3.7745	0.0134	 22	"INHO"
 20	 0	-1.1645	-0.3387	-0.5618	-0.5618	-0.2676	0.6818	 0	   NaN	-0.4418	3.9207	0.0125	 23	"47"
 21	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7053	1.5916	 0	   NaN	-0.4418	4.0702	0.0000	 24	"white noise video"
 22	 0	0.0877	-0.3745	-0.3001	-0.3001	-0.2512	0.8510	 0	   NaN	-0.4418	3.8983	0.0074	 25	"EMPATIA"
 23	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.4524	1.0035	 0	   NaN	-0.4418	3.9141	0.0030	 26	"47"
 24	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6741	1.0310	 0	   NaN	-0.4418	3.8549	0.0021	 27	"white noise video"
 25	 2	0.2015	-0.0828	-0.0846	-0.0846	-0.0702	0.7610	 0	   NaN	-0.4418	3.8967	0.0075	 28	"PELKO"
 26	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6414	1.1126	 0	   NaN	-0.4418	4.0174	0.0001	 29	"47"
 27	-1	   NaN	-0.5380	-0.3667	-0.3667	-0.4009	1.0612	 0	   NaN	-0.4418	3.8538	0.0042	 30	"white noise video"
 28	 0	2.0229	-0.3834	-0.3377	-0.3377	-0.2299	0.3167	 0	   NaN	-0.4418	3.7772	0.0022	 31	"ILO"
 29	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7552	0.0405	 0	   NaN	-0.4418	3.7417	0.0008	 32	"47"
 30	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.4182	0.5016	 0	   NaN	-0.4418	3.8156	0.0030	 33	"white noise video"
 31	 0	0.9984	0.4366	0.6268	0.6268	0.8026	-0.1724	 0	   NaN	-0.4418	3.7461	0.0748	 34	"RENTOUTUNEISUUS"
 32	 0	1.4537	-0.3468	-0.3697	-0.3697	-0.3799	0.2544	 0	   NaN	-0.4418	3.8405	0.0033	 35	"47"
 33	 0	-0.7092	0.7425	0.8332	0.8332	0.4005	0.4414	 0	   NaN	-0.4418	3.8054	0.0989	 36	"white noise video"
 34	-1	   NaN	-0.5380	-0.5886	-0.5886	-0.5413	-0.7560	 0	   NaN	-0.4418	3.5789	0.0035	 37	"ILO"
 35	 0	1.1122	-0.2914	0.0396	0.0396	0.3760	-0.7225	 1	4.0156	0.8140	3.5799	0.0286	 38	"47"
 36	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6560	-0.3639	 0	   NaN	-0.4418	3.6789	0.0000	 39	"white noise video"
 37	-1	   NaN	-0.5380	-0.5789	-0.5789	-0.4463	-1.0583	 0	   NaN	-0.4418	3.5350	0.0039	 40	"VOITTO"
 38	 0	-1.3922	-0.3973	-0.3442	-0.3442	-0.2860	-1.0812	 0	   NaN	-0.4418	3.5387	0.0292	 41	"47"
 39	-1	   NaN	-0.5380	-0.6039	-0.6039	-0.6851	-0.1670	 0	   NaN	-0.4418	3.7176	0.0000	 42	"white noise video"
 40	-1	   NaN	-0.5380	-0.4996	-0.4996	-0.5072	-1.4189	 0	   NaN	-0.4418	3.5160	0.0040	 43	"PELKO"
 41	 3	-1.0507	1.5182	1.6330	1.6330	1.1050	-1.0988	 1	3.0156	1.8915	3.5579	0.1491	 44	"47"
 42	-1	   NaN	-0.5380	-0.5353	-0.5353	-0.6779	-0.4940	 0	   NaN	-0.4418	3.6746	0.0000	 45	"white noise video"
 43	 0	-0.0262	-0.1637	0.0553	0.0553	0.0537	-0.8339	 0	   NaN	-0.4418	3.8992	0.1254	 46	"EMPATIA"
 44	 0	2.0229	-0.4222	-0.3870	-0.3870	-0.3842	-0.1880	 0	   NaN	-0.4418	3.8519	0.0000	 47	"47"
