CDA.SCR-Onset	CDA.SCR-Amplitude
  0.6406	 -0.2752
  7.3281	  0.6156
  8.0156	  0.1467
  9.2031	 -0.5274
 10.2656	 -0.3869
 14.4531	  2.1812
 18.0781	 -0.1982
 19.0156	 -0.5632
 21.7656	  1.1585
 32.1406	 -0.1438
 32.9531	  0.0895
 35.9531	 -0.5095
 37.0156	 -0.5029
 37.9531	 -0.5653
 44.7031	  1.3874
 45.5156	 -0.4039
 49.0156	  0.5963
 49.5156	  1.1478
 50.3281	 -0.0166
 57.2656	 -0.5527
 58.0781	 -0.2303
 58.8281	  0.1583
 59.5781	 -0.5445
 90.0156	 -0.5372
110.5156	 -0.5540
111.2656	 -0.1266
112.2031	 -0.2826
113.0156	 -0.4864
132.0156	 -0.5532
152.0781	 -0.5645
153.0781	  4.1394
154.7656	 -0.3510
155.7656	 -0.5114
167.2656	 -0.4713
172.0156	 -0.5156
179.9531	  6.5972
181.7031	 -0.4906
182.4531	 -0.0612
183.2031	 -0.5603
185.5156	  2.1335
188.0156	  4.2503
189.8281	 -0.3748
193.2656	  0.2682
193.8281	  0.2013
194.7656	 -0.5175
206.7656	  0.0027
207.5156	  0.3754
211.1406	  3.5528
212.7656	 -0.3710
215.5156	 -0.5116
216.2656	 -0.4936
217.0781	 -0.4937
217.8906	 -0.4132
218.7656	 -0.5021
219.5781	 -0.4837
221.2656	 -0.5481
222.1406	 -0.5646
223.0156	 -0.5244
228.1406	  2.8130
232.9531	  2.6625
234.5781	 -0.3572
240.5156	 -0.4574
241.4531	 -0.0275
242.2656	  0.1529
243.2656	  3.3378
244.7656	 -0.5306
259.5156	 -0.5407
261.3906	 -0.4875
262.2031	 -0.4781
262.9531	 -0.2860
263.8281	 -0.3862
265.5781	 -0.5049
266.5781	 -0.5650
267.5156	 -0.4515
268.4531	 -0.4740
269.5156	 -0.4534
270.5156	 -0.5333
278.5781	 -0.3948
279.3906	  0.7740
280.1406	  0.3055
281.2031	 -0.3971
293.5781	 -0.0157
297.3281	  2.0880
301.0156	  0.2687
302.0156	 -0.1403
306.7656	 -0.5348
307.7031	  1.0762
317.5156	 -0.2162
318.3906	 -0.0228
318.9531	  0.6682
319.7031	  0.1079
320.5781	 -0.0116
329.0156	 -0.5200
329.8906	  0.0588
330.7656	 -0.5547
349.2656	 -0.5293
350.3906	 -0.5121
351.3906	 -0.3311
352.3281	 -0.5139
357.2031	  2.9998
361.5781	  0.1582
362.2656	  0.0199
363.2656	 -0.1365
363.7656	  0.4051
364.5156	 -0.4171
367.2656	 -0.2221
367.8281	 -0.2422
368.7031	 -0.4470
375.5781	  3.3872
379.8281	  1.4209
380.5781	  0.6435
384.8281	 -0.4795
389.9531	  4.4191
396.3906	 -0.5622
398.3281	 -0.4888
399.2656	 -0.5426
402.3281	 -0.5571
406.1406	 -0.5164
407.0781	 -0.4909
410.0156	 -0.4328
410.8281	  0.3320
411.7656	 -0.4943
416.5156	 -0.5533
425.5156	 -0.0216
426.5156	 -0.4350
432.1406	 -0.5139
433.7031	  2.9640
434.6406	 -0.4055
438.6406	  0.1873
444.2031	 -0.0347
445.7031	  2.5581
446.6406	 -0.5239
449.9531	 -0.3695
450.8906	 -0.2490
476.0156	 -0.0767
476.9531	 -0.3129
492.7656	 -0.4314
493.4531	  0.0388
494.5156	 -0.1471
495.4531	 -0.5085
500.6406	 -0.3236
504.8906	  0.0166
